EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:07:11	4	0.0000	3.2256632749156195	0.5422133803367615	0.0	0.0	0.0	0.0
2	16:08:32	4	0.0000	0.6089700143968566	0.2619226574897766	0.7075	0.6242	0.6632	0.5382
3	16:09:52	4	0.0000	0.4441963823727519	0.17772211134433746	0.8016	0.7952	0.7984	0.68
4	16:11:15	4	0.0000	0.3738946040300987	0.14158861339092255	0.8241	0.8387	0.8313	0.7283
5	16:12:39	4	0.0000	0.33602009419415857	0.12749001383781433	0.8323	0.8484	0.8403	0.7419
6	16:14:01	4	0.0000	0.3092255586656586	0.11827446520328522	0.8521	0.8645	0.8583	0.7646
7	16:15:22	4	0.0000	0.2974072203196517	0.11101839691400528	0.8483	0.8661	0.8571	0.7639
8	16:16:44	4	0.0000	0.30318345169148975	0.10780853033065796	0.8462	0.8694	0.8576	0.7656
9	16:18:06	4	0.0000	0.29398129406929807	0.10814003646373749	0.8524	0.8661	0.8592	0.7682
10	16:19:29	4	0.0000	0.28066195762664625	0.10762018710374832	0.8524	0.8661	0.8592	0.7682
