EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:56:30	4	0.0000	2.435592848950105	0.43970590829849243	0.0084	0.0016	0.0027	0.0013
2	16:58:14	4	0.0000	0.5903069132994455	0.23093794286251068	0.6796	0.6356	0.6569	0.5108
3	17:00:00	4	0.0000	0.4552572387014188	0.1598753035068512	0.7717	0.7839	0.7778	0.6565
4	17:01:45	4	0.0000	0.40157530886282244	0.1278221160173416	0.7783	0.8249	0.8009	0.6918
5	17:03:30	4	0.0000	0.36314122743718086	0.11393625289201736	0.8042	0.8423	0.8228	0.7236
6	17:05:15	4	0.0000	0.3465924128684476	0.10409218817949295	0.8464	0.8691	0.8576	0.7728
7	17:07:01	4	0.0000	0.336690910821333	0.09867706894874573	0.8616	0.8738	0.8677	0.7994
8	17:08:46	4	0.0000	0.32011725355219456	0.09545287489891052	0.8631	0.8849	0.8738	0.8084
9	17:10:30	4	0.0000	0.3184455976781833	0.0948498323559761	0.8659	0.8864	0.8761	0.8121
10	17:12:16	4	0.0000	0.3198731568560791	0.0939941555261612	0.8704	0.8896	0.8799	0.8186
