EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:49:33	4	0.0000	3.3881660228645893	0.6070654988288879	0.0	0.0	0.0	0.0
2	12:04:06	4	0.0000	0.6762926728968238	0.26544690132141113	0.4862	0.5085	0.4971	0.3605
3	12:18:40	4	0.0000	0.4513429340778127	0.12047137320041656	0.7624	0.8159	0.7882	0.6696
4	12:33:20	4	0.0000	0.33719295908151653	0.06939775496721268	0.8617	0.8955	0.8783	0.8026
5	12:47:59	4	0.0000	0.28836612144591567	0.05630867928266525	0.8838	0.9169	0.9001	0.839
6	13:02:33	4	0.0000	0.2772179350860629	0.046226516366004944	0.9015	0.9341	0.9175	0.8657
7	13:17:13	4	0.0000	0.2593969419259569	0.040477506816387177	0.9183	0.9454	0.9316	0.8854
8	13:31:52	4	0.0000	0.2550011130703288	0.03616390377283096	0.9369	0.9524	0.9446	0.905
9	13:46:29	4	0.0000	0.2496776806739743	0.03161711245775223	0.9398	0.9616	0.9506	0.9149
10	14:01:05	4	0.0000	0.24330029204503048	0.030462969094514847	0.9537	0.9648	0.9592	0.9294
11	14:15:51	4	0.0000	0.23876629226035107	0.028158633038401604	0.9521	0.9707	0.9613	0.9318
12	14:30:30	4	0.0000	0.23444184644416025	0.03321826830506325	0.9463	0.969	0.9575	0.9248
13	14:45:02	4	0.0000	0.22960546790680705	0.030071010813117027	0.9552	0.9733	0.9641	0.9374
14	14:59:37	4	0.0000	0.23129096491080905	0.03190658241510391	0.9677	0.9662	0.967	0.9411
15	15:14:11	4	0.0000	0.2279487290401878	0.03091738186776638	0.9611	0.9717	0.9664	0.94
16	15:28:49	4	0.0000	0.22553469538431134	0.032626375555992126	0.9679	0.9707	0.9693	0.9451
17	15:43:30	4	0.0000	0.22088779655984117	0.03095339611172676	0.9656	0.9772	0.9714	0.9496
18	15:58:04	4	0.0000	0.22134311586421235	0.029881484806537628	0.9703	0.975	0.9727	0.9514
19	16:12:48	4	0.0000	0.21985646923811403	0.03181719034910202	0.963	0.9741	0.9685	0.9436
