EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	03:23:23	4	0.0000	1.5864808023046373	0.1655266433954239	0.7982	0.805	0.8016	0.6863
2	03:37:04	4	0.0000	0.33057473696192646	0.05750066787004471	0.8965	0.915	0.9056	0.8441
3	03:50:56	4	0.0000	0.2701895100850528	0.039777759462594986	0.9323	0.9447	0.9384	0.8979
4	04:04:47	4	0.0000	0.2527684157671231	0.03323204815387726	0.9429	0.9531	0.948	0.9091
5	04:18:41	4	0.0000	0.24358602906639934	0.029951879754662514	0.9433	0.9616	0.9524	0.9179
6	04:32:27	4	0.0000	0.23887214896750297	0.028230607509613037	0.9612	0.9698	0.9655	0.9392
7	04:46:19	4	0.0000	0.23410637389490474	0.030711514875292778	0.9663	0.9681	0.9672	0.9418
8	05:00:14	4	0.0000	0.2334816756786297	0.0289638452231884	0.9592	0.9724	0.9658	0.9399
9	05:13:54	4	0.0000	0.2280544520055505	0.029212890192866325	0.9606	0.9717	0.9661	0.94
10	05:27:31	4	0.0000	0.22407671869994328	0.028884917497634888	0.9625	0.9735	0.9679	0.9424
11	05:41:23	4	0.0000	0.2245407347606554	0.029340779408812523	0.9667	0.976	0.9714	0.9484
12	05:55:09	4	0.0000	0.2229255866530944	0.030396291986107826	0.9653	0.9743	0.9698	0.9461
13	06:08:47	4	0.0000	0.22152592660972528	0.03147146850824356	0.9665	0.9709	0.9687	0.9435
14	06:22:25	4	0.0000	0.2178136998283938	0.032607365399599075	0.9636	0.9717	0.9676	0.9415
15	06:36:08	4	0.0000	0.21898440277777978	0.029522651806473732	0.9673	0.9733	0.9703	0.9476
16	06:49:53	4	0.0000	0.220683888363677	0.02981257252395153	0.9706	0.9726	0.9716	0.9486
17	07:03:48	4	0.0000	0.21837997126783484	0.02971157804131508	0.9707	0.975	0.9728	0.9515
18	07:17:36	4	0.0000	0.2160742409362912	0.03237368166446686	0.9711	0.9728	0.9719	0.9492
19	07:31:14	4	0.0000	0.2137472868608562	0.034338049590587616	0.9635	0.9733	0.9684	0.943
20	07:44:55	4	0.0000	0.21155437260795038	0.03302214294672012	0.9663	0.9748	0.9706	0.9468
21	07:58:32	4	0.0000	0.21571467269325964	0.03576816990971565	0.9662	0.971	0.9686	0.9436
22	08:12:09	4	0.0000	0.2118390597435393	0.034215908497571945	0.9704	0.9717	0.9711	0.9474
23	08:25:48	4	0.0000	0.21525961803504512	0.03572053089737892	0.9699	0.971	0.9705	0.9469
24	08:39:25	4	0.0000	0.21670418846409978	0.03432272747159004	0.9726	0.9731	0.9729	0.9508
25	08:53:14	4	0.0000	0.20657170674609696	0.03669479116797447	0.9686	0.9731	0.9708	0.9476
26	09:06:58	4	0.0000	0.21215499983479832	0.036375585943460464	0.9675	0.9745	0.971	0.948
27	09:20:40	4	0.0000	0.21104629760804408	0.03711193427443504	0.9644	0.9722	0.9683	0.943
28	09:34:23	4	0.0000	0.21225619687881855	0.03649749979376793	0.9683	0.974	0.9711	0.9485
29	09:48:02	4	0.0000	0.20656878760362699	0.03732709959149361	0.9679	0.9733	0.9706	0.9476
30	10:01:45	4	0.0000	0.20984384194917016	0.036944273859262466	0.9688	0.974	0.9714	0.9489
31	10:15:23	4	0.0000	0.20996677363754254	0.03832743316888809	0.9683	0.9733	0.9708	0.9472
32	10:29:08	4	0.0000	0.2093149554483999	0.03859783709049225	0.9681	0.9728	0.9704	0.9468
33	10:42:53	4	0.0000	0.2097950048944798	0.038616880774497986	0.9664	0.9731	0.9698	0.9462
34	10:56:30	4	0.0000	0.20851061065349105	0.038410499691963196	0.9659	0.9724	0.9692	0.9449
35	11:10:12	4	0.0000	0.20832735412516937	0.03800758719444275	0.9679	0.9729	0.9704	0.9471
36	11:23:52	4	0.0000	0.2082074130760825	0.038276828825473785	0.9681	0.9731	0.9706	0.9476
37	11:37:37	4	0.0000	0.20781569043700315	0.03808542340993881	0.9691	0.9736	0.9714	0.9491
38	11:51:17	4	0.0000	0.20740478050071207	0.03836466372013092	0.9688	0.9728	0.9708	0.9478
39	12:05:00	4	0.0000	0.20684661814579455	0.03842034190893173	0.9683	0.9726	0.9704	0.9471
40	12:18:44	4	0.0000	0.20726084307921303	0.038533590734004974	0.9681	0.9726	0.9703	0.947
