EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:00:33	4	0.0000	1.5032456821888431	0.1248854324221611	0.8194	0.8457	0.8324	0.7323
2	21:07:36	4	0.0000	0.3144584691030425	0.05440234765410423	0.8872	0.9231	0.9048	0.8397
3	21:14:42	4	0.0000	0.2685489850906886	0.039329301565885544	0.9314	0.9474	0.9393	0.895
4	21:21:48	4	0.0000	0.25406933829718237	0.02731742523610592	0.9397	0.961	0.9502	0.9133
5	21:28:53	4	0.0000	0.24472082963560104	0.028596827760338783	0.9557	0.9678	0.9617	0.9354
6	21:36:00	4	0.0000	0.23676296387297777	0.029407281428575516	0.9583	0.9672	0.9628	0.9355
7	21:43:06	4	0.0000	0.23364224443386897	0.028057526797056198	0.9591	0.9712	0.9651	0.9395
8	21:50:11	4	0.0000	0.23389496320919811	0.029142623767256737	0.9599	0.9736	0.9667	0.9416
9	21:57:18	4	0.0000	0.2270368529235208	0.031174512580037117	0.9596	0.9733	0.9664	0.9404
10	22:04:21	4	0.0000	0.22522840884908685	0.03036622330546379	0.9659	0.9717	0.9688	0.9434
11	22:11:27	4	0.0000	0.22531130079096864	0.031106630340218544	0.9659	0.9753	0.9706	0.9466
12	22:18:32	4	0.0000	0.22392144910382142	0.03378966450691223	0.9675	0.9752	0.9713	0.9479
13	22:25:40	4	0.0000	0.22414970547168697	0.03184342756867409	0.9671	0.9776	0.9723	0.9512
14	22:32:47	4	0.0000	0.2209770845897338	0.035118844360113144	0.9665	0.9757	0.9711	0.9478
15	22:39:50	4	0.0000	0.2206511214485104	0.03607429563999176	0.9634	0.9743	0.9688	0.9447
16	22:46:52	4	0.0000	0.2208268973628139	0.03546673804521561	0.9672	0.9752	0.9712	0.9484
17	22:53:56	4	0.0000	0.2193361498665524	0.03251492232084274	0.9654	0.9778	0.9716	0.949
18	23:01:00	4	0.0000	0.21531597636293423	0.037281814962625504	0.9693	0.9738	0.9715	0.9488
19	23:08:05	4	0.0000	0.2176718958505422	0.036797795444726944	0.9693	0.9753	0.9723	0.9493
20	23:15:11	4	0.0000	0.21262920159320792	0.03648458048701286	0.9655	0.974	0.9697	0.945
21	23:22:14	4	0.0000	0.21554503996360017	0.04087608680129051	0.9675	0.975	0.9712	0.9482
22	23:29:19	4	0.0000	0.21389633801367292	0.03736887499690056	0.9629	0.9759	0.9693	0.9451
23	23:36:22	4	0.0000	0.21531540115898923	0.04108100011944771	0.9678	0.9741	0.971	0.9482
24	23:43:26	4	0.0000	0.2147991140418886	0.03774578496813774	0.9682	0.975	0.9716	0.9484
25	23:50:30	4	0.0000	0.21124409525406507	0.04196293652057648	0.9701	0.9726	0.9713	0.9482
26	23:57:32	4	0.0000	0.21614579882479207	0.038916490972042084	0.9676	0.9745	0.9711	0.9482
27	00:04:38	4	0.0000	0.21362148651420682	0.040053676813840866	0.9657	0.9747	0.9701	0.946
28	00:11:40	4	0.0000	0.21398155177278605	0.039620790630578995	0.9665	0.9759	0.9712	0.9482
29	00:18:45	4	0.0000	0.21452249542313864	0.040574390441179276	0.9683	0.9755	0.9719	0.9492
30	00:25:49	4	0.0000	0.2118903300248556	0.04022863134741783	0.967	0.975	0.971	0.9479
31	00:32:53	4	0.0000	0.21063428901251952	0.0410718135535717	0.9668	0.9752	0.971	0.9473
32	00:39:56	4	0.0000	0.21070652406990326	0.0422808937728405	0.9695	0.9738	0.9716	0.9488
33	00:47:01	4	0.0000	0.21171326997398868	0.04184307903051376	0.9683	0.9745	0.9714	0.9483
34	00:54:04	4	0.0000	0.21124225736831273	0.04096648097038269	0.9654	0.9753	0.9703	0.9465
35	01:01:10	4	0.0000	0.20958848528764837	0.041506219655275345	0.9665	0.9757	0.9711	0.9478
36	01:08:15	4	0.0000	0.21116515066651717	0.041604310274124146	0.9677	0.9753	0.9715	0.9485
37	01:15:18	4	0.0000	0.20912893031356317	0.04162285104393959	0.9673	0.9752	0.9712	0.9482
38	01:22:22	4	0.0000	0.20911079806570268	0.04200927913188934	0.9672	0.9753	0.9712	0.9481
39	01:29:27	4	0.0000	0.2091817547838859	0.041867706924676895	0.9672	0.9755	0.9713	0.9482
40	01:36:30	4	0.0000	0.21259441785912714	0.041878730058670044	0.9672	0.9755	0.9713	0.9482
