EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:49:03	4	0.0000	4.5516464358874	4.104579925537109	0.002	0.0324	0.0038	0.0019
2	14:56:06	4	0.0000	3.7818610934262296	2.7148447036743164	0.0	0.0	0.0	0.0
3	15:03:09	4	0.0000	1.7873883496107685	0.6428784728050232	0.0	0.0	0.0	0.0
4	15:10:12	4	0.0000	0.8354974133821671	0.47325214743614197	0.0	0.0	0.0	0.0
5	15:17:13	4	0.0000	0.6838702380290469	0.3642905652523041	0.355	0.162	0.2225	0.1296
6	15:24:20	4	0.0000	0.5896466887564666	0.282978892326355	0.5548	0.486	0.5181	0.3686
7	15:31:24	4	0.0000	0.5196440658085717	0.21313390135765076	0.6884	0.6551	0.6713	0.5443
8	15:38:30	4	0.0000	0.4622834624704904	0.16135375201702118	0.8359	0.8114	0.8235	0.7193
9	15:45:36	4	0.0000	0.40840454693888223	0.12379425019025803	0.8446	0.8505	0.8475	0.751
10	15:52:43	4	0.0000	0.3696891334035482	0.09849940240383148	0.8326	0.8676	0.8497	0.7533
11	15:59:47	4	0.0000	0.34256243185623125	0.08282279223203659	0.8368	0.8786	0.8572	0.765
12	16:06:52	4	0.0000	0.32142398307945075	0.0738798975944519	0.8496	0.8873	0.868	0.7827
13	16:14:01	4	0.0000	0.30735822536776725	0.06771626323461533	0.8661	0.8985	0.882	0.8032
14	16:21:08	4	0.0000	0.2948360296980205	0.06244485080242157	0.8703	0.9059	0.8877	0.8147
15	16:28:12	4	0.0000	0.2874324653124812	0.05928903445601463	0.8787	0.9117	0.8949	0.8252
16	16:35:18	4	0.0000	0.2831564129947066	0.05589583143591881	0.8805	0.9145	0.8972	0.8305
17	16:42:24	4	0.0000	0.27766627407012684	0.05201094225049019	0.8933	0.9223	0.9075	0.8458
18	16:49:30	4	0.0000	0.2697983498985729	0.04932507127523422	0.8976	0.9264	0.9118	0.8521
19	16:56:38	4	0.0000	0.2688697893007333	0.04692531377077103	0.896	0.9297	0.9125	0.8525
20	17:03:44	4	0.0000	0.2614468515159679	0.04372185841202736	0.91	0.9379	0.9238	0.8722
21	17:10:49	4	0.0000	0.261139854134763	0.04182609170675278	0.9158	0.9416	0.9285	0.8786
22	17:17:56	4	0.0000	0.25705516380001764	0.03952604904770851	0.9217	0.9476	0.9345	0.8898
23	17:25:01	4	0.0000	0.25591778083893213	0.038298845291137695	0.9292	0.9497	0.9393	0.8981
24	17:32:08	4	0.0000	0.25364939983673507	0.03544821962714195	0.9291	0.9533	0.941	0.8998
25	17:39:14	4	0.0000	0.24708260434892662	0.034632567316293716	0.9379	0.9535	0.9456	0.9081
26	17:46:20	4	0.0000	0.2505302877558972	0.032836295664310455	0.9338	0.9585	0.946	0.9082
