EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	19:00:38	0	0.1000	0.17843122566966124	0.05824972316622734	0.8919	0.875	0.8834	0.8046
2	19:04:22	0	0.1000	0.058888266469124255	0.038435813039541245	0.9381	0.9226	0.9303	0.8795
3	19:08:11	0	0.1000	0.041759352474563256	0.029163673520088196	0.9372	0.9409	0.939	0.898
4	19:12:01	0	0.1000	0.0343808980519353	0.0240942295640707	0.9424	0.9483	0.9454	0.9061
5	19:15:49	0	0.1000	0.029719596907938687	0.024527059867978096	0.9583	0.9471	0.9527	0.9181
6	19:19:36	1	0.1000	0.026562656698206913	0.024774320423603058	0.9402	0.9536	0.9469	0.9099
7	19:23:21	0	0.1000	0.024221680527517296	0.022244252264499664	0.9464	0.9595	0.9529	0.9192
8	19:27:08	0	0.1000	0.02206333549148742	0.022250903770327568	0.9581	0.9569	0.9575	0.925
9	19:30:56	1	0.1000	0.020405138455570314	0.02131831832230091	0.9512	0.9604	0.9557	0.9234
10	19:34:41	0	0.1000	0.01910471720278915	0.02257135882973671	0.9641	0.9543	0.9592	0.9289
11	19:38:28	1	0.1000	0.018188941166660203	0.020774127915501595	0.9532	0.9647	0.9589	0.9291
12	19:42:14	2	0.1000	0.01796805020953043	0.020405232906341553	0.9544	0.9598	0.9571	0.926
13	19:45:59	0	0.1000	0.016386289650817905	0.01909969374537468	0.9577	0.9641	0.9609	0.9325
14	19:49:46	0	0.1000	0.016470458410772458	0.02101142145693302	0.9602	0.9619	0.9611	0.9328
15	19:53:37	0	0.1000	0.014816344818001603	0.019657280296087265	0.9658	0.964	0.9649	0.9389
16	19:57:24	1	0.1000	0.014807182814695813	0.019609274342656136	0.9579	0.9652	0.9615	0.9336
17	20:01:11	2	0.1000	0.013457499041870621	0.01908872090280056	0.9624	0.9652	0.9638	0.9371
18	20:04:56	0	0.1000	0.012594720892267427	0.01738681085407734	0.9624	0.9698	0.9661	0.9397
19	20:08:44	1	0.1000	0.012188919796027159	0.018421046435832977	0.9623	0.9672	0.9648	0.9396
20	20:12:29	0	0.1000	0.012304859673429001	0.018200885504484177	0.9642	0.9709	0.9675	0.9434
21	20:16:16	1	0.1000	0.012001438291234205	0.020244859158992767	0.9597	0.9641	0.9619	0.9328
22	20:20:01	2	0.1000	0.011651099302139022	0.01815659925341606	0.963	0.9695	0.9662	0.9413
23	20:23:45	3	0.1000	0.011085297961890641	0.019059808924794197	0.9659	0.9664	0.9661	0.94
24	20:27:30	0	0.1000	0.01007745107261118	0.018186211585998535	0.9662	0.9716	0.9689	0.9452
25	20:31:19	1	0.1000	0.010783072781930301	0.020357701927423477	0.9522	0.9745	0.9632	0.9361
26	20:35:04	2	0.1000	0.009813919392003396	0.01931788958609104	0.9636	0.9714	0.9675	0.9436
27	20:38:48	0	0.1000	0.009653023994430077	0.01792549528181553	0.9663	0.9736	0.9699	0.9491
