EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	19:30:47	4	0.0000	1.6491473109797075	0.16751065850257874	0.8012	0.7783	0.7896	0.6725
2	19:37:59	4	0.0000	0.3277446886338925	0.055464569479227066	0.8911	0.92	0.9053	0.8486
3	19:45:18	4	0.0000	0.2688059688136829	0.039900779724121094	0.9322	0.9435	0.9378	0.8938
4	19:52:37	4	0.0000	0.24966249719977307	0.034227799624204636	0.9428	0.9552	0.949	0.9103
5	19:59:56	4	0.0000	0.24344240242806411	0.02873825840651989	0.9575	0.9674	0.9624	0.9349
6	20:07:16	4	0.0000	0.23827037741185936	0.028977129608392715	0.9556	0.9693	0.9624	0.9336
7	20:14:25	4	0.0000	0.2366203212174031	0.02736687660217285	0.9611	0.9707	0.9659	0.9393
8	20:21:45	4	0.0000	0.22707377615520793	0.029762210324406624	0.9579	0.9735	0.9656	0.9399
9	20:28:55	4	0.0000	0.2270967712739001	0.02944282814860344	0.9641	0.9716	0.9678	0.9433
10	20:36:15	4	0.0000	0.22335854413975678	0.02991061471402645	0.9653	0.9729	0.9691	0.9448
11	20:43:35	4	0.0000	0.22849927615838095	0.029256338253617287	0.9666	0.974	0.9703	0.9474
12	20:50:54	4	0.0000	0.224082403763318	0.03117179311811924	0.9699	0.9736	0.9718	0.9499
13	20:58:13	4	0.0000	0.22357714106910517	0.03063846379518509	0.9669	0.9762	0.9715	0.9483
14	21:05:25	4	0.0000	0.21985570186926906	0.031928982585668564	0.964	0.9726	0.9683	0.943
15	21:12:34	4	0.0000	0.21837949621036432	0.032171495258808136	0.9628	0.9762	0.9694	0.9457
16	21:19:44	4	0.0000	0.21795199039707225	0.03345419839024544	0.9668	0.974	0.9704	0.9472
17	21:26:52	4	0.0000	0.21595648108632579	0.0348883792757988	0.9645	0.9736	0.969	0.9442
18	21:34:02	4	0.0000	0.21601684282630135	0.036819495260715485	0.9657	0.9712	0.9685	0.9426
19	21:41:12	4	0.0000	0.21517367180113142	0.03513558208942413	0.9646	0.9736	0.9691	0.9439
20	21:48:22	4	0.0000	0.21574747311373413	0.03562602400779724	0.9663	0.9733	0.9698	0.9457
21	21:55:30	4	0.0000	0.2155296854069209	0.03712394833564758	0.9634	0.9712	0.9673	0.9404
22	22:02:40	4	0.0000	0.20777827251205294	0.03861338645219803	0.9675	0.9743	0.9709	0.9474
23	22:09:50	4	0.0000	0.2135467082396705	0.03823425620794296	0.9657	0.9743	0.97	0.9461
24	22:16:59	4	0.0000	0.21499576755484867	0.03613368421792984	0.9666	0.9733	0.9699	0.9456
25	22:24:08	4	0.0000	0.21179630998934817	0.0388508178293705	0.9689	0.9726	0.9708	0.9468
26	22:31:16	4	0.0000	0.20680429762973981	0.04010448232293129	0.965	0.9736	0.9693	0.9443
27	22:38:25	4	0.0000	0.209834652437615	0.039931345731019974	0.9663	0.9745	0.9704	0.9463
28	22:45:35	4	0.0000	0.2094767530682882	0.03846787288784981	0.9658	0.974	0.9699	0.9454
29	22:52:44	4	0.0000	0.21426575025645686	0.04075483977794647	0.9664	0.9722	0.9693	0.9447
30	22:59:54	4	0.0000	0.20725568261363173	0.03950352594256401	0.966	0.974	0.97	0.9453
31	23:07:02	4	0.0000	0.20906176815559133	0.03935297951102257	0.9673	0.9731	0.9702	0.9462
32	23:14:12	4	0.0000	0.21043938571542053	0.039330288767814636	0.9666	0.9724	0.9695	0.9447
33	23:21:23	4	0.0000	0.20762668680850768	0.038575902581214905	0.9665	0.9743	0.9704	0.9471
34	23:28:31	4	0.0000	0.2102611879840279	0.0385153591632843	0.9675	0.9741	0.9708	0.9475
35	23:35:40	4	0.0000	0.20663659628354614	0.03913281857967377	0.969	0.9748	0.9719	0.9495
36	23:42:59	4	0.0000	0.2129715961894952	0.040187232196331024	0.9686	0.9743	0.9715	0.9485
37	23:50:07	4	0.0000	0.20958390766105486	0.040443774312734604	0.9681	0.9741	0.9711	0.9478
38	23:57:16	4	0.0000	0.20894690334205657	0.040897924453020096	0.9678	0.9733	0.9705	0.9467
39	00:04:26	4	0.0000	0.20931654358035315	0.04097907245159149	0.9671	0.974	0.9705	0.9469
40	00:11:35	4	0.0000	0.20828258004655356	0.0409555621445179	0.9673	0.974	0.9706	0.947
