EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:11:06	0	0.1000	0.16203014371621915	0.049402546137571335	0.8804	0.9095	0.8947	0.8209
2	14:14:55	0	0.1000	0.0547307483228603	0.035159025341272354	0.9278	0.9341	0.9309	0.88
3	14:18:52	0	0.1000	0.039504259906084416	0.028050007298588753	0.946	0.9488	0.9474	0.9089
4	14:22:48	0	0.1000	0.03240481342864676	0.023096442222595215	0.9556	0.9533	0.9544	0.9206
5	14:26:46	1	0.1000	0.027831306254378282	0.026544727385044098	0.9498	0.9514	0.9506	0.9137
6	14:30:31	0	0.1000	0.024578987826104258	0.022156599909067154	0.96	0.9593	0.9596	0.9294
7	14:34:29	0	0.1000	0.02195959990010531	0.021479984745383263	0.9657	0.9607	0.9632	0.934
8	14:38:26	1	0.1000	0.020873796637463683	0.019494174048304558	0.9537	0.965	0.9593	0.9287
9	14:42:12	2	0.1000	0.01836664907254381	0.01854589581489563	0.9597	0.9648	0.9623	0.9335
10	14:45:57	0	0.1000	0.018152859342700337	0.01831127144396305	0.9643	0.9638	0.964	0.936
11	14:49:52	0	0.1000	0.016210919360630394	0.019348740577697754	0.9633	0.9681	0.9657	0.9391
12	14:53:49	0	0.1000	0.015353576651121316	0.01895028166472912	0.9648	0.9679	0.9664	0.9397
13	14:57:47	0	0.1000	0.014528229542445831	0.018444346264004707	0.9645	0.9693	0.9669	0.9423
14	15:01:45	0	0.1000	0.014465498135055967	0.01692930981516838	0.9657	0.9697	0.9677	0.9436
15	15:05:40	0	0.1000	0.013430661809789527	0.017482994124293327	0.9667	0.9721	0.9694	0.946
16	15:09:37	0	0.1000	0.012414043156899047	0.018201656639575958	0.9692	0.971	0.9701	0.947
17	15:13:33	1	0.1000	0.012055397240018048	0.01710258424282074	0.965	0.9695	0.9672	0.9419
18	15:17:18	2	0.1000	0.011404917940142152	0.017146244645118713	0.9647	0.9709	0.9678	0.9434
19	15:21:04	0	0.1000	0.010419528771925814	0.016774006187915802	0.9692	0.9714	0.9703	0.9477
20	15:25:00	0	0.1000	0.009464506020421096	0.018554259091615677	0.9725	0.9709	0.9717	0.9504
21	15:28:55	1	0.1000	0.010631376222397987	0.016956888139247894	0.9683	0.9703	0.9693	0.9467
22	15:32:40	2	0.1000	0.009517893683311615	0.01691645383834839	0.9654	0.9716	0.9685	0.9448
23	15:36:24	3	0.1000	0.009227064220600057	0.01780737191438675	0.9672	0.9702	0.9687	0.9457
24	15:40:10	4	0.1000	0.009102575904648495	0.016894487664103508	0.9688	0.9726	0.9707	0.9486
25	15:43:55	0	0.0500	0.00778682746371318	0.016604242846369743	0.9708	0.9736	0.9722	0.9516
26	15:47:51	1	0.0500	0.006706087181759749	0.016916921362280846	0.9706	0.9729	0.9718	0.95
27	15:51:36	2	0.0500	0.0068390198028429276	0.017368558794260025	0.967	0.9748	0.9709	0.9488
28	15:55:20	3	0.0500	0.006169802742663047	0.017629606649279594	0.9668	0.9745	0.9706	0.9488
29	15:59:06	4	0.0500	0.005966954087503215	0.01749454066157341	0.9704	0.9733	0.9719	0.951
30	16:02:50	0	0.0250	0.0052542393750053375	0.0173609871417284	0.9713	0.975	0.9732	0.9536
31	16:06:48	1	0.0250	0.005458484275128291	0.01746414788067341	0.9706	0.9747	0.9726	0.9525
32	16:10:32	2	0.0250	0.004736036273431303	0.01755315624177456	0.9717	0.9717	0.9717	0.9509
33	16:14:17	0	0.0250	0.005170206370741575	0.017660168930888176	0.9712	0.9764	0.9738	0.9548
34	16:18:12	1	0.0250	0.0050753451126498315	0.017052140086889267	0.9713	0.9743	0.9728	0.9531
35	16:21:56	2	0.0250	0.004509870188388348	0.017591388896107674	0.9696	0.9735	0.9715	0.9505
36	16:25:41	3	0.0250	0.0046923984637874915	0.017246797680854797	0.969	0.9762	0.9726	0.9521
37	16:29:27	4	0.0250	0.004294472240105525	0.017469381913542747	0.9698	0.9748	0.9723	0.952
38	16:33:11	1	0.0125	0.004221101154198775	0.017507517710328102	0.9715	0.9757	0.9736	0.9541
39	16:36:55	2	0.0125	0.003869527274813909	0.01740598864853382	0.9707	0.9752	0.9729	0.9528
40	16:40:39	3	0.0125	0.004078034231799152	0.017358915880322456	0.9695	0.9757	0.9726	0.9525
41	16:44:24	4	0.0125	0.004224956407318698	0.01752994954586029	0.9702	0.9764	0.9733	0.9537
42	16:48:10	1	0.0063	0.003701612196034761	0.01756165362894535	0.9709	0.9766	0.9737	0.9545
43	16:51:55	2	0.0063	0.004005318989511217	0.017626984044909477	0.971	0.9762	0.9736	0.9542
44	16:55:40	3	0.0063	0.0035694350345209765	0.017640789970755577	0.9708	0.9757	0.9733	0.9537
45	16:59:26	4	0.0063	0.003747923767291624	0.017575493082404137	0.9713	0.9757	0.9735	0.954
46	17:03:12	1	0.0031	0.0036987638748431943	0.017566528171300888	0.9708	0.9752	0.973	0.9532
47	17:06:57	2	0.0031	0.003430262632459005	0.01752547360956669	0.9705	0.975	0.9727	0.9525
48	17:10:42	3	0.0031	0.004024126596813108	0.0174995269626379	0.9705	0.9759	0.9732	0.9534
49	17:14:26	4	0.0031	0.003772250329920615	0.01747974567115307	0.971	0.9755	0.9733	0.9533
50	17:18:11	1	0.0016	0.0035319383165653834	0.017482995986938477	0.971	0.9753	0.9732	0.9532
51	17:21:55	2	0.0016	0.0036660912330431597	0.017490431666374207	0.971	0.9755	0.9733	0.9533
52	17:25:40	3	0.0016	0.003668747040618607	0.017498888075351715	0.971	0.9755	0.9733	0.9533
53	17:29:25	4	0.0016	0.003610901216442157	0.01751236990094185	0.971	0.9759	0.9734	0.9537
54	17:33:09	1	0.0008	0.0037436408605792133	0.017506487667560577	0.971	0.9759	0.9734	0.9537
55	17:36:53	2	0.0008	0.004330567963965469	0.017480872571468353	0.9713	0.9757	0.9735	0.9537
56	17:40:37	3	0.0008	0.0032193516877547794	0.01749689318239689	0.971	0.9757	0.9733	0.9533
57	17:44:22	4	0.0008	0.003535213133024431	0.01749747432768345	0.9708	0.9757	0.9733	0.9533
58	17:48:06	1	0.0004	0.0033329458411854797	0.01749875210225582	0.9708	0.9757	0.9733	0.9533
59	17:51:51	2	0.0004	0.00341592453802811	0.017495788633823395	0.9708	0.9757	0.9733	0.9533
60	17:55:35	3	0.0004	0.003910809283059018	0.017506306990981102	0.971	0.9759	0.9734	0.9537
61	17:59:20	4	0.0004	0.003643592043944797	0.017496882006525993	0.9708	0.9757	0.9733	0.9533
62	18:03:06	1	0.0002	0.003354078322608393	0.01750193163752556	0.971	0.9759	0.9734	0.9537
63	18:06:51	2	0.0002	0.003495610232709088	0.017504321411252022	0.971	0.976	0.9735	0.9538
64	18:10:37	3	0.0002	0.003270214202130612	0.017507629469037056	0.971	0.976	0.9735	0.9538
65	18:14:21	4	0.0002	0.003272427413720985	0.01750846952199936	0.971	0.976	0.9735	0.9538
