EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	11:58:25	0	0.1000	0.1417232430506143	0.04999365285038948	0.8733	0.8807	0.877	0.7946
2	12:03:18	0	0.1000	0.05109970493495974	0.034311410039663315	0.9376	0.9226	0.9301	0.8808
3	12:08:26	0	0.1000	0.03831146581129424	0.028181947767734528	0.9524	0.934	0.9431	0.9013
4	12:13:41	0	0.1000	0.029841994794750592	0.023534735664725304	0.9459	0.9466	0.9462	0.9091
5	12:18:34	0	0.1000	0.02595395406927025	0.02242417074739933	0.9559	0.945	0.9504	0.914
6	12:23:36	0	0.1000	0.022745389688554465	0.021732039749622345	0.9542	0.9591	0.9567	0.9273
7	12:28:20	1	0.1000	0.02075506670261811	0.02324545569717884	0.9614	0.9519	0.9566	0.9253
8	12:33:17	0	0.1000	0.018694657640494113	0.021491535007953644	0.9628	0.9535	0.9581	0.9268
9	12:38:23	1	0.1000	0.01786269522187265	0.02004496194422245	0.9618	0.9536	0.9577	0.9255
10	12:43:38	0	0.1000	0.0162233335930576	0.018596315756440163	0.9588	0.9598	0.9593	0.9313
11	12:49:47	0	0.1000	0.01574801909651302	0.018166910856962204	0.9628	0.9633	0.963	0.937
12	12:54:46	1	0.1000	0.014418864491530979	0.018835538998246193	0.9653	0.9593	0.9623	0.935
13	12:59:35	2	0.1000	0.013114484315541788	0.0190751776099205	0.9639	0.9621	0.963	0.9369
14	13:04:12	0	0.1000	0.012855795186373418	0.020807888358831406	0.9679	0.9609	0.9644	0.9382
15	13:09:35	0	0.1000	0.01215911088114128	0.01933438703417778	0.9695	0.9598	0.9647	0.938
16	13:14:55	1	0.1000	0.011011044348161258	0.019301673397421837	0.965	0.9614	0.9632	0.9362
17	13:20:01	0	0.1000	0.0108602519771292	0.018348170444369316	0.9655	0.9662	0.9659	0.9417
18	13:25:02	0	0.1000	0.010719627730503785	0.018141841515898705	0.9694	0.966	0.9677	0.9438
19	13:30:00	1	0.1000	0.00896894770939877	0.02163533866405487	0.9661	0.9579	0.962	0.9341
20	13:34:50	2	0.1000	0.009499590063220155	0.019036103039979935	0.968	0.9652	0.9666	0.9423
21	13:39:35	3	0.1000	0.008803451444898691	0.0178518183529377	0.966	0.9686	0.9673	0.9433
22	13:44:25	4	0.1000	0.008231348700781158	0.017896480858325958	0.9666	0.9671	0.9668	0.9432
23	13:49:34	0	0.0500	0.007992851898543984	0.01801086589694023	0.9684	0.9672	0.9678	0.9446
24	13:54:36	1	0.0500	0.007692505637577074	0.018451517447829247	0.9677	0.9659	0.9668	0.9428
25	14:00:07	0	0.0500	0.007767231616244204	0.018520627170801163	0.9717	0.9657	0.9687	0.9455
26	14:05:16	0	0.0500	0.007426442437667066	0.01863207295536995	0.9715	0.9683	0.9699	0.9479
27	14:10:11	0	0.0500	0.0067142164224895315	0.018247084692120552	0.9711	0.9688	0.97	0.9479
28	14:15:06	0	0.0500	0.006132682017004641	0.01820402219891548	0.9694	0.9714	0.9704	0.9488
29	14:20:00	0	0.0500	0.006147057988663256	0.018632253631949425	0.9724	0.9714	0.9719	0.9515
30	14:25:02	1	0.0500	0.005814489558491432	0.01905440166592598	0.9695	0.9688	0.9691	0.9463
31	14:30:13	2	0.0500	0.006036107596227933	0.018251052126288414	0.9685	0.9705	0.9695	0.9475
32	14:35:15	3	0.0500	0.005241847845748265	0.01844312809407711	0.9666	0.9688	0.9677	0.9442
33	14:40:10	4	0.0500	0.005251339971680973	0.019459227100014687	0.9682	0.9717	0.97	0.9468
34	14:45:07	1	0.0250	0.005091534789603996	0.01856808364391327	0.9712	0.9709	0.971	0.9504
35	14:49:54	2	0.0250	0.006097397352314414	0.018682435154914856	0.9708	0.9702	0.9705	0.9491
36	14:54:39	3	0.0250	0.0051714528442813245	0.018864179030060768	0.9689	0.9721	0.9705	0.9492
37	14:59:46	4	0.0250	0.0051338347338650255	0.019003938883543015	0.969	0.9705	0.9698	0.9478
38	15:04:57	1	0.0125	0.0052900055554008655	0.01818399876356125	0.9702	0.9719	0.9711	0.9498
39	15:09:59	2	0.0125	0.004668064835375959	0.018466198816895485	0.9716	0.9719	0.9717	0.9509
40	15:14:53	3	0.0125	0.005064234922515211	0.018466463312506676	0.9714	0.9722	0.9718	0.9509
41	15:19:39	4	0.0125	0.005190613509045269	0.018464289605617523	0.9696	0.9716	0.9706	0.9488
42	15:24:18	1	0.0063	0.005381274268484213	0.018325919285416603	0.9716	0.9714	0.9715	0.9509
43	15:28:52	2	0.0063	0.005514684814465171	0.018432453274726868	0.9717	0.9707	0.9712	0.9504
