EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	00:42:44	4	0.0000	3.0475629380332574	0.5212058424949646	0.1062	0.025	0.0405	0.0213
2	01:28:39	4	0.0000	0.6406107024701049	0.21311122179031372	0.6172	0.7052	0.6583	0.5026
3	02:15:10	4	0.0000	0.41521645883784425	0.09259124845266342	0.7912	0.8476	0.8184	0.7075
4	03:01:22	4	0.0000	0.31679520300230884	0.06779249012470245	0.792	0.8547	0.8222	0.7112
5	03:47:42	4	0.0000	0.28329381941665477	0.05676431953907013	0.8607	0.9014	0.8806	0.8035
6	04:34:39	4	0.0000	0.26996352375016247	0.04852748289704323	0.8453	0.9307	0.886	0.8093
7	05:21:10	4	0.0000	0.26120158852213143	0.04414825513958931	0.8707	0.9367	0.9025	0.8356
8	06:07:29	4	0.0000	0.2548772068678741	0.03688611835241318	0.9323	0.9495	0.9408	0.895
9	06:53:49	4	0.0000	0.2508693501424553	0.03509536013007164	0.9355	0.9598	0.9475	0.9065
10	07:40:21	4	0.0000	0.2459869989252899	0.03350241109728813	0.9473	0.9664	0.9567	0.923
11	08:27:01	4	0.0000	0.24191700512926867	0.03130073845386505	0.9661	0.9735	0.9698	0.9473
12	09:13:37	4	0.0000	0.23488325989820394	0.03396757319569588	0.9554	0.9709	0.9631	0.9335
13	09:59:17	4	0.0000	0.2327385035512588	0.03881816565990448	0.9681	0.9688	0.9685	0.9433
14	10:45:04	4	0.0000	0.23123515966781155	0.0357457660138607	0.9681	0.9743	0.9712	0.9493
15	11:31:37	4	0.0000	0.23358411159836295	0.03501136973500252	0.9639	0.9724	0.9682	0.9422
16	12:17:53	4	0.0000	0.2294495543230727	0.039022963494062424	0.9567	0.971	0.9638	0.9332
17	13:03:48	4	0.0000	0.23063277329242368	0.03582680597901344	0.9699	0.9771	0.9735	0.952
18	13:50:29	4	0.0000	0.2257046600661595	0.03460386395454407	0.9689	0.9774	0.9731	0.9526
19	14:36:33	4	0.0000	0.22403533872686895	0.03733843192458153	0.9687	0.975	0.9718	0.9495
20	15:22:57	4	0.0000	0.22509495680001257	0.035218071192502975	0.9712	0.9778	0.9745	0.9546
21	16:09:24	4	0.0000	0.21963391775049862	0.034845758229494095	0.9702	0.9779	0.9741	0.9534
22	16:55:26	4	0.0000	0.21748193771126953	0.041066888719797134	0.9685	0.976	0.9723	0.9505
