EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:35:45	4	0.0000	1.8673099226442955	0.21512486040592194	0.5744	0.6633	0.6157	0.4749
2	17:21:30	4	0.0000	0.3722704074413592	0.07423406094312668	0.7923	0.8674	0.8282	0.7202
3	18:07:16	4	0.0000	0.2887522496932488	0.05243473872542381	0.8621	0.9147	0.8876	0.8153
4	18:53:19	4	0.0000	0.2672247509610673	0.05054688826203346	0.8952	0.9185	0.9067	0.8369
5	19:39:21	4	0.0000	0.2521920806755639	0.03398900851607323	0.9358	0.9554	0.9455	0.9035
6	20:25:47	4	0.0000	0.24318057567203416	0.03416936472058296	0.9528	0.9705	0.9616	0.9324
7	21:12:02	4	0.0000	0.2405726377221582	0.03618079423904419	0.9554	0.9685	0.9619	0.9337
8	21:58:10	4	0.0000	0.2349848038560744	0.034358493983745575	0.9667	0.9705	0.9686	0.9446
9	22:44:24	4	0.0000	0.2336635961957514	0.03194916248321533	0.9647	0.9743	0.9695	0.945
10	23:30:49	4	0.0000	0.23043639779469838	0.03612106293439865	0.9708	0.9759	0.9733	0.9517
