EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	09:56:01	4	0.0000	2.4474560038291573	0.5269287824630737	0.0	0.0	0.0	0.0
2	10:41:31	4	0.0000	0.6459620433018394	0.22117376327514648	0.5169	0.653	0.577	0.4168
3	11:27:46	4	0.0000	0.42509449230187707	0.10017172247171402	0.7667	0.8309	0.7975	0.6745
4	12:14:09	4	0.0000	0.32696962841101535	0.06599317491054535	0.7964	0.8442	0.8196	0.7061
5	13:00:23	4	0.0000	0.289709207156926	0.05369579419493675	0.8381	0.8871	0.8619	0.7683
6	13:46:29	4	0.0000	0.2721473746372052	0.04738793894648552	0.8708	0.9076	0.8888	0.817
7	14:32:48	4	0.0000	0.2631694378299912	0.04033096879720688	0.8869	0.9202	0.9032	0.8339
8	15:19:01	4	0.0000	0.25489516469709844	0.037259627133607864	0.913	0.946	0.9292	0.8757
9	16:05:09	4	0.0000	0.25073667917494696	0.03572872653603554	0.922	0.9535	0.9375	0.8944
10	16:51:15	4	0.0000	0.24586164539017472	0.03546680882573128	0.9428	0.9583	0.9505	0.911
11	17:37:21	4	0.0000	0.24193050490268556	0.030268674716353416	0.955	0.9705	0.9627	0.9332
12	18:23:33	4	0.0000	0.2417775607098822	0.03246026858687401	0.9501	0.9712	0.9605	0.9292
13	19:09:27	4	0.0000	0.2350384181034361	0.03171869367361069	0.9597	0.97	0.9648	0.9371
14	19:55:23	4	0.0000	0.23311878951101483	0.03379221633076668	0.9659	0.9724	0.9692	0.9455
15	20:41:35	4	0.0000	0.23400828916238328	0.03522438555955887	0.9573	0.9693	0.9633	0.9341
16	21:27:47	4	0.0000	0.23338480301556883	0.03234407305717468	0.9709	0.9767	0.9738	0.9526
17	22:13:46	4	0.0000	0.2307230446197335	0.037074360996484756	0.9585	0.9703	0.9644	0.9371
18	22:59:41	4	0.0000	0.22993587227951934	0.04335758462548256	0.9639	0.9707	0.9673	0.9401
19	23:45:43	4	0.0000	0.22190173267538804	0.03561212494969368	0.9679	0.976	0.9719	0.9492
20	00:31:42	4	0.0000	0.22378113975774672	0.034864041954278946	0.9696	0.9779	0.9737	0.9526
21	01:17:42	4	0.0000	0.22299087677562573	0.03855707496404648	0.9703	0.9741	0.9722	0.9488
22	02:03:33	4	0.0000	0.2228224290338493	0.03641100227832794	0.9681	0.9771	0.9725	0.9513
23	02:49:23	4	0.0000	0.2205573442306112	0.03636063262820244	0.9686	0.9783	0.9734	0.9528
24	03:35:38	4	0.0000	0.22092073740186727	0.04050864651799202	0.9636	0.9674	0.9655	0.9378
25	04:21:33	4	0.0000	0.2183577638826822	0.03490998595952988	0.9712	0.9776	0.9744	0.9546
26	05:07:42	4	0.0000	0.21929238969260265	0.035873766988515854	0.9696	0.9771	0.9733	0.9515
27	05:54:00	4	0.0000	0.2148504905889826	0.0383303202688694	0.9675	0.9745	0.971	0.9485
28	06:40:07	4	0.0000	0.21300856140384722	0.042837418615818024	0.9651	0.9762	0.9706	0.9473
29	07:25:53	4	0.0000	0.21488127438085605	0.036596886813640594	0.9751	0.979	0.977	0.958
30	08:12:14	4	0.0000	0.21161890790085341	0.04250483587384224	0.9735	0.9743	0.9739	0.9525
