EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:53:11	4	0.0000	1.353271358378763	0.11922475695610046	0.7263	0.7949	0.759	0.623
2	19:17:42	4	0.0000	0.3077789188111383	0.05371588468551636	0.9168	0.9292	0.9229	0.8726
3	19:42:25	4	0.0000	0.25916863145574287	0.03928998485207558	0.9205	0.9524	0.9362	0.888
4	20:07:09	4	0.0000	0.25190015276157574	0.03637045621871948	0.9651	0.9643	0.9647	0.9383
5	20:31:50	4	0.0000	0.24446597356461278	0.02692417800426483	0.963	0.9745	0.9687	0.9444
6	20:56:28	4	0.0000	0.24114506195285687	0.03052474930882454	0.9673	0.9752	0.9712	0.9477
7	21:21:01	4	0.0000	0.23488414487407847	0.03348539024591446	0.9688	0.9728	0.9708	0.9478
8	21:45:25	4	0.0000	0.23168730230823112	0.03555203229188919	0.9704	0.9678	0.9691	0.9435
9	22:09:50	4	0.0000	0.22796611600177874	0.0363670252263546	0.9683	0.9735	0.9709	0.9483
10	22:34:21	4	0.0000	0.22828611802710888	0.03934941068291664	0.9692	0.9724	0.9708	0.9481
11	22:58:55	4	0.0000	0.22914799381134074	0.036521151661872864	0.9744	0.9778	0.9761	0.957
12	23:23:31	4	0.0000	0.2253845977932856	0.03386308625340462	0.9726	0.9788	0.9757	0.9559
13	23:47:55	4	0.0000	0.22530769329016342	0.03884910047054291	0.968	0.976	0.972	0.9494
14	00:12:18	4	0.0000	0.22095678951761513	0.03495391458272934	0.9703	0.98	0.9751	0.9553
15	00:36:45	4	0.0000	0.21980297683071276	0.0356731154024601	0.9679	0.9781	0.973	0.952
16	01:01:13	4	0.0000	0.2216890715503157	0.03481614217162132	0.9723	0.9798	0.976	0.9561
17	01:25:37	4	0.0000	0.22203811693879946	0.03531895950436592	0.9699	0.9788	0.9743	0.9536
18	01:50:09	4	0.0000	0.21994965123654933	0.03545710816979408	0.9712	0.9778	0.9745	0.9542
19	02:14:36	4	0.0000	0.2171948181224037	0.04028042033314705	0.9715	0.9747	0.9731	0.9511
20	02:38:59	4	0.0000	0.21885188563910837	0.037130534648895264	0.9724	0.9781	0.9752	0.9552
21	03:03:23	4	0.0000	0.21615836253854265	0.03985758498311043	0.9696	0.9783	0.9739	0.9536
22	03:27:48	4	0.0000	0.21631221001498158	0.03769500553607941	0.9707	0.9776	0.9741	0.9534
23	03:52:10	4	0.0000	0.21384059741800573	0.041634369641542435	0.9702	0.9759	0.973	0.9521
24	04:16:41	4	0.0000	0.21564037193131186	0.039195653051137924	0.9712	0.9783	0.9748	0.9546
25	04:41:11	4	0.0000	0.21547768574314294	0.038535356521606445	0.9724	0.9783	0.9753	0.9559
26	05:05:36	4	0.0000	0.20968800862389592	0.03908921033143997	0.9712	0.9783	0.9748	0.9546
27	05:30:03	4	0.0000	0.2139985354361505	0.041102953255176544	0.9731	0.9776	0.9753	0.9562
28	05:54:28	4	0.0000	0.21597770717018613	0.04006106033921242	0.9732	0.9774	0.9753	0.9558
29	06:18:55	4	0.0000	0.21262140229324578	0.04065047949552536	0.9734	0.9778	0.9756	0.9562
30	06:43:28	4	0.0000	0.21038585659132922	0.03962785005569458	0.9697	0.9779	0.9738	0.953
31	07:07:59	4	0.0000	0.21185533780554136	0.042056042701005936	0.9722	0.9778	0.975	0.955
32	07:32:27	4	0.0000	0.2141244369266215	0.040477365255355835	0.9721	0.9783	0.9752	0.956
33	07:56:55	4	0.0000	0.20935477235751287	0.040195710957050323	0.9717	0.9774	0.9746	0.9545
34	08:21:21	4	0.0000	0.21453539635589028	0.04031997174024582	0.9736	0.9772	0.9754	0.956
35	08:45:48	4	0.0000	0.20743530566653573	0.04231585934758186	0.973	0.9769	0.975	0.9552
36	09:10:26	4	0.0000	0.2106606640555043	0.04334979131817818	0.9727	0.9767	0.9747	0.955
37	09:34:49	4	0.0000	0.21578107182652687	0.04289735108613968	0.9722	0.9767	0.9745	0.9544
38	09:59:24	4	0.0000	0.21108566750435945	0.04274236783385277	0.9715	0.9767	0.9741	0.9537
39	10:23:50	4	0.0000	0.21003626424502608	0.04268118366599083	0.9724	0.9769	0.9746	0.9547
40	10:48:23	4	0.0000	0.2104867493884359	0.04264164716005325	0.9722	0.9767	0.9745	0.9544
