EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	13:42:52	4	0.0000	1.3812345979196186	0.13270585238933563	0.6656	0.7618	0.7105	0.5618
2	14:07:44	4	0.0000	0.31554520266354774	0.050338614732027054	0.8913	0.9359	0.9131	0.8546
3	14:32:51	4	0.0000	0.2654289182203756	0.04225559160113335	0.9185	0.9409	0.9296	0.8783
4	14:57:57	4	0.0000	0.2562511145954967	0.03553617000579834	0.9456	0.9581	0.9518	0.9146
5	15:23:08	4	0.0000	0.24565568127761173	0.03155859559774399	0.955	0.9667	0.9608	0.9296
6	15:48:21	4	0.0000	0.24064152082050486	0.03429659083485603	0.9621	0.9707	0.9664	0.9404
7	16:13:32	4	0.0000	0.2374208200903913	0.0318024642765522	0.9594	0.9741	0.9667	0.9401
8	16:38:44	4	0.0000	0.2301964687028674	0.03802017495036125	0.9669	0.9729	0.9699	0.946
9	17:03:46	4	0.0000	0.22837709689147284	0.04091315716505051	0.97	0.9695	0.9697	0.9457
10	17:28:24	4	0.0000	0.2354752797700383	0.03692106530070305	0.9663	0.9738	0.97	0.9454
11	17:53:28	4	0.0000	0.22592383043702996	0.03699442371726036	0.9677	0.9716	0.9696	0.9456
12	18:18:06	4	0.0000	0.2274511059537006	0.0337073840200901	0.9706	0.9785	0.9745	0.9535
13	18:43:17	4	0.0000	0.2252462644975163	0.035018227994441986	0.9712	0.976	0.9736	0.9529
14	19:08:10	4	0.0000	0.22530247672814488	0.036204997450113297	0.9717	0.9753	0.9735	0.9527
15	19:33:04	4	0.0000	0.22077881212218928	0.036212008446455	0.9699	0.9764	0.9731	0.9521
16	19:57:50	4	0.0000	0.22167512334451903	0.037580668926239014	0.97	0.9757	0.9728	0.9511
17	20:22:39	4	0.0000	0.22054036486537082	0.037001531571149826	0.9714	0.9783	0.9748	0.9549
18	20:47:49	4	0.0000	0.22080551640704382	0.038240015506744385	0.972	0.9767	0.9744	0.9539
19	21:12:41	4	0.0000	0.21792211595809838	0.035416778177022934	0.9746	0.98	0.9773	0.9587
20	21:37:46	4	0.0000	0.22137263256600828	0.04011543095111847	0.9769	0.9785	0.9777	0.9594
21	22:02:59	4	0.0000	0.21755918343316205	0.037842296063899994	0.9724	0.9785	0.9754	0.9559
22	22:27:55	4	0.0000	0.21524488843408207	0.0376412533223629	0.9717	0.9769	0.9743	0.9539
23	22:52:50	4	0.0000	0.2162384190985332	0.040484387427568436	0.9752	0.9774	0.9763	0.9573
24	23:17:35	4	0.0000	0.21468147219951253	0.0375516302883625	0.9739	0.9791	0.9765	0.9586
25	23:42:22	4	0.0000	0.21550703274375466	0.03885043039917946	0.9736	0.9788	0.9762	0.9573
26	00:07:09	4	0.0000	0.21560120798069723	0.03934882581233978	0.9745	0.9769	0.9757	0.9573
27	00:31:59	4	0.0000	0.21314041913099274	0.04025845229625702	0.9724	0.9772	0.9748	0.9553
28	00:56:50	4	0.0000	0.2141752913808403	0.04154997318983078	0.9722	0.9767	0.9745	0.9548
29	01:21:39	4	0.0000	0.20823589245918445	0.04218260198831558	0.9714	0.9764	0.9739	0.9542
30	01:46:27	4	0.0000	0.21130184710135247	0.04046143963932991	0.9728	0.979	0.9759	0.9572
31	02:11:16	4	0.0000	0.20905619826631025	0.0430741161108017	0.9722	0.9764	0.9743	0.9545
32	02:36:04	4	0.0000	0.21197773176047838	0.041098371148109436	0.9731	0.9781	0.9756	0.9568
33	03:00:53	4	0.0000	0.20948427728101315	0.04043133929371834	0.9739	0.9778	0.9758	0.9573
34	03:25:40	4	0.0000	0.20837810787108324	0.03998606652021408	0.9744	0.9788	0.9766	0.959
35	03:50:30	4	0.0000	0.21306921572441012	0.040509045124053955	0.9758	0.9781	0.9769	0.9588
36	04:15:18	4	0.0000	0.2112011675649322	0.04102329537272453	0.9756	0.9791	0.9774	0.9599
37	04:40:03	4	0.0000	0.21035426881764552	0.041368503123521805	0.9744	0.9786	0.9765	0.958
38	05:04:54	4	0.0000	0.2086869690910332	0.04176589846611023	0.9752	0.9779	0.9766	0.958
39	05:29:46	4	0.0000	0.21127976583007133	0.0414842814207077	0.9739	0.9778	0.9758	0.957
40	05:54:38	4	0.0000	0.2110860471472202	0.04152241349220276	0.9746	0.9781	0.9763	0.9578
